Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,2,21
1,1,3
2,2,17
3,2,24
4,2,5
5,2,22
6,4,23
7,3,21
8,4,9
9,3,5
10,3,4
11,1,4
12,2,17
13,2,10
14,2,23
15,3,4
16,3,22
17,2,5
18,2,24
19,3,5
20,3,24
21,3,5
22,3,22
23,4,22
24,6,7
25,2,23
26,6,7
27,4,13
28,6,20
29,6,25
30,6,20
31,2,5
32,3,5
33,2,25
34,3,5
35,2,13
36,6,27
37,4,18
38,4,13
39,2,5
40,6,8
41,3,5
42,2,24
43,5,11
44,4,5
45,2,26
46,2,5
47,2,5
48,4,5
49,2,22
50,2,27
51,2,11
52,2,5
53,2,8
54,2,22
55,2,24
56,2,24
57,2,29
58,2,4
59,2,4
